State,Hour,Day,Month,Year,Wind_Speed(km/h),Temperature(C),Precipitation(mm),Severity,Predicted_Hour
CA,6,25,9,2022,0.0,21.11,0.0,2,13
NC,8,29,8,2022,0.0,23.89,0.0,2,8
TN,5,19,12,2022,0.0,-2.22,0.0,2,5
OR,13,30,9,2022,16.09,18.89,0.0,2,13
CA,14,23,12,2022,9.65,12.22,0.0,2,14
CA,5,14,12,2022,4.83,1.67,0.0,2,10
OH,3,15,1,2023,0.0,-6.67,0.0,2,3
FL,7,10,9,2022,8.04,23.89,0.0,2,8
FL,15,20,12,2022,0.0,16.67,0.76,2,14
NY,6,13,10,2022,12.87,17.78,0.0,2,8
CA,6,11,12,2022,8.04,13.33,0.0,2,12
CA,8,3,12,2022,8.04,7.78,0.25,2,8
FL,15,28,1,2023,11.26,17.78,0.0,2,16
MI,14,7,8,2022,22.53,33.89,0.0,2,15
OH,15,15,12,2022,19.31,6.67,0.0,2,15
IN,6,2,8,2022,0.0,21.11,0.0,2,6
NC,17,9,8,2022,9.65,29.44,0.0,2,17
SC,12,5,10,2022,9.65,21.11,0.0,2,13
MT,12,26,1,2023,4.83,2.22,0.0,2,8
FL,5,13,1,2023,4.83,16.11,0.0,2,7
NY,0,12,11,2022,20.92,18.89,0.0,2,5
TX,17,9,12,2022,4.83,14.44,0.0,2,15
CT,10,15,8,2022,16.09,24.44,0.0,2,14
OH,11,24,12,2022,35.4,-15.0,0.0,2,11
CA,10,30,12,2022,0.0,13.89,0.0,2,11
FL,6,22,8,2022,8.04,25.56,0.0,2,7
NC,20,2,1,2023,4.83,12.78,0.0,2,18
CA,9,23,12,2022,4.83,8.89,0.0,2,10
CA,22,31,12,2022,25.74,11.11,0.76,2,20
CA,19,27,1,2023,0.0,7.22,0.0,2,13
NC,14,11,11,2022,28.96,21.11,0.51,2,13
TX,14,8,9,2022,0.0,32.78,0.0,2,14
FL,1,17,12,2022,0.0,7.22,0.0,2,4
FL,9,21,1,2023,0.0,12.22,0.0,2,9
CA,18,26,1,2023,19.31,19.44,0.0,2,15
CA,10,11,9,2022,0.0,26.67,0.0,2,9
WY,9,3,11,2022,9.65,-2.78,0.51,2,9
PA,11,1,9,2022,11.26,26.11,0.0,2,11
VA,14,8,9,2022,28.96,27.22,0.0,2,15
PA,14,13,9,2022,25.74,18.89,0.0,2,14
TN,14,20,9,2022,8.04,35.0,0.0,2,14
PA,11,8,10,2022,16.09,10.56,0.0,2,12
FL,12,9,10,2022,8.04,27.78,0.0,2,12
MD,4,30,1,2023,0.0,6.11,0.0,2,6
CA,12,13,11,2022,9.65,20.56,0.0,2,13
AR,8,13,12,2022,12.87,12.78,0.0,2,10
FL,15,8,10,2022,11.26,31.11,0.0,2,15
CA,0,4,1,2023,0.0,5.56,0.0,4,3
IL,9,27,12,2022,12.87,-10.56,0.0,2,9
TX,21,21,8,2022,12.87,25.0,0.25,2,12
PA,12,23,1,2023,33.79,2.22,0.0,2,13
FL,7,6,1,2023,16.09,12.78,0.0,2,9
MO,12,11,10,2022,35.4,25.0,0.0,2,13
CA,16,9,12,2022,8.04,15.0,0.0,2,16
PA,15,8,8,2022,16.09,30.0,0.0,2,16
CA,12,20,8,2022,14.48,21.11,0.0,2,12
CA,7,25,1,2023,0.0,9.44,0.0,2,8
CA,16,10,10,2022,12.87,24.44,0.0,2,16
MI,2,6,1,2023,9.65,0.56,0.0,2,5
CA,22,7,12,2022,0.0,5.0,0.0,2,16
FL,11,23,12,2022,20.92,23.89,0.0,2,13
NC,12,7,10,2022,12.87,22.78,0.0,2,13
NY,21,5,11,2022,12.87,19.44,0.0,2,17
MN,16,18,12,2022,12.87,-13.33,0.0,2,14
MN,3,9,8,2022,0.0,15.0,0.0,2,5
FL,17,8,12,2022,12.87,24.44,0.0,2,16
CA,18,25,1,2023,0.0,16.11,0.0,2,17
SC,18,19,9,2022,8.04,30.0,0.0,2,17
CA,9,16,11,2022,0.0,20.0,0.0,2,10
TX,18,13,12,2022,0.0,13.89,0.0,2,15
TX,5,22,8,2022,0.0,21.67,24.64,3,8
PA,15,21,9,2022,19.31,27.78,0.0,2,16
MI,15,23,1,2023,4.83,1.11,0.0,2,15
IN,16,22,12,2022,12.87,3.89,0.2104570154231863,2,16
GA,17,16,9,2022,11.26,28.33,0.0,2,16
CA,17,6,12,2022,0.0,10.0,0.0,2,10
MS,12,2,1,2023,16.09,25.56,0.0,2,12
NY,15,3,1,2023,12.87,9.44,0.25,2,14
GA,5,9,12,2022,0.0,16.11,0.0,2,8
TX,16,11,12,2022,14.48,21.67,0.0,2,15
CA,6,5,1,2023,11.26,13.89,0.0,2,10
CA,21,5,11,2022,0.0,16.11,0.0,2,19
CA,13,27,8,2022,11.26,23.89,0.0,2,14
OR,18,5,12,2022,4.83,6.67,0.0,2,17
NC,9,25,9,2022,19.31,20.0,0.0,2,16
NY,7,1,10,2022,27.35,12.22,4.57,2,7
CA,19,3,12,2022,4.83,9.44,0.0,2,18
CA,18,2,12,2022,8.04,8.33,0.0,2,17
VA,6,8,8,2022,0.0,24.44,0.0,2,7
CA,18,30,12,2022,0.0,15.0,0.0,2,17
MI,7,6,12,2022,8.04,2.22,0.0,2,9
OK,23,24,9,2022,8.04,24.44,0.0,2,19
VA,14,12,10,2022,12.87,22.22,0.0,2,14
FL,8,17,11,2022,11.26,13.33,0.0,2,10
UT,0,28,12,2022,14.48,1.11,1.78,2,4
GA,18,25,9,2022,16.09,26.11,0.0,2,17
FL,10,2,9,2022,11.26,31.67,0.0,2,14
NC,8,24,1,2023,0.0,-2.22,0.0,2,8
FL,17,10,8,2022,12.87,31.11,0.0,2,14
WI,23,18,8,2022,9.65,22.22,0.0,2,19
PA,3,15,11,2022,11.26,-1.67,0.0,2,11
FL,19,1,9,2022,11.26,29.44,0.0,2,16
NC,11,6,10,2022,4.83,22.78,0.0,2,15
MO,11,1,11,2022,12.87,21.11,0.0,2,13
CA,11,10,11,2022,14.48,20.0,0.0,2,13
CT,15,20,9,2022,19.31,24.44,0.0,2,15
UT,21,19,1,2023,11.26,-0.56,0.0,2,21
CA,18,12,11,2022,4.83,10.0,0.0,2,11
LA,6,9,8,2022,4.83,23.89,0.0,2,8
NY,5,1,10,2022,35.4,12.78,3.81,2,6
TX,0,16,10,2022,11.26,22.78,0.0,2,3
CA,16,7,9,2022,20.92,41.11,0.0,2,15
VA,4,5,1,2023,0.0,13.33,0.0,2,9
NY,7,7,12,2022,24.14,13.33,1.02,2,10
NJ,15,30,9,2022,11.26,16.67,0.0,2,16
CA,18,25,8,2022,9.65,26.11,0.0,2,15
CA,21,30,11,2022,19.31,9.44,0.0,2,14
GA,19,19,1,2023,20.92,18.33,0.0,2,18
NC,8,23,11,2022,0.0,10.0,0.0,2,18
TX,12,13,9,2022,0.0,31.11,0.0,2,14
DC,19,15,12,2022,19.31,7.78,0.0,2,17
NY,7,18,8,2022,12.87,21.67,0.0,2,9
CA,14,24,12,2022,4.83,7.22,0.0,2,13
CA,23,4,12,2022,4.83,10.56,0.0,2,19
TX,0,5,9,2022,4.83,24.44,0.0,2,5
TX,6,24,8,2022,8.04,26.11,0.0,2,6
PA,8,4,1,2023,8.04,10.56,0.0,2,11
MD,17,30,12,2022,0.0,9.44,0.0,2,17
FL,15,28,12,2022,24.14,23.89,0.0,2,15
NC,15,29,9,2022,14.48,18.89,0.0,2,15
CA,17,21,9,2022,20.92,23.89,0.0,2,17
CA,19,16,9,2022,12.87,22.78,0.0,2,17
MI,12,12,11,2022,14.48,7.22,0.0,2,13
CA,18,26,8,2022,12.87,26.67,0.0,2,15
CO,1,25,9,2022,11.26,13.89,0.0,2,6
AZ,12,16,1,2023,11.26,12.22,0.25,2,12
NC,8,6,12,2022,8.04,6.67,0.0,2,9
TX,6,17,11,2022,12.87,8.89,0.0,2,9
PA,8,18,11,2022,4.83,1.67,0.0,2,11
VA,7,27,12,2022,0.0,-5.56,0.0,2,7
DC,16,16,12,2022,19.31,8.89,0.0,2,16
CO,6,21,9,2022,14.48,14.44,0.0,2,8
CA,8,2,1,2023,9.65,4.44,0.0,2,8
PA,6,10,10,2022,0.0,3.89,0.0,2,7
OR,22,17,12,2022,0.0,-15.56,0.0,2,11
NV,7,25,1,2023,4.83,-6.11,0.0,2,7
OH,12,25,1,2023,14.48,5.0,0.0,2,13
FL,15,4,1,2023,16.09,28.33,0.0,2,15
TX,7,13,10,2022,22.53,21.67,0.0,2,8
FL,14,5,12,2022,9.65,27.22,0.0,2,14
SC,17,5,1,2023,32.18,15.0,0.0,2,16
FL,14,22,9,2022,14.48,32.78,0.0,2,16
OH,17,7,11,2022,0.0,13.89,0.0,2,13
CA,18,30,9,2022,9.65,13.89,0.0,2,16
CA,10,30,1,2023,8.04,13.33,0.0,2,15
CA,11,16,11,2022,11.26,17.78,0.0,2,13
FL,18,16,1,2023,8.04,19.44,0.0,2,17
SC,7,4,1,2023,4.83,15.0,9.65,2,8
CA,15,23,11,2022,20.92,22.78,0.0,2,15
CA,20,4,1,2023,8.04,13.89,0.0,2,11
CA,9,2,8,2022,9.65,28.33,0.0,2,10
CA,13,10,10,2022,0.0,23.89,0.0,2,12
NJ,4,23,8,2022,0.0,18.89,0.0,2,5
OK,19,21,1,2023,0.0,6.11,0.0,2,15
FL,20,25,1,2023,0.0,22.78,0.0,2,10
CA,10,5,1,2023,4.83,14.44,4.57,2,10
CA,14,8,11,2022,16.09,18.89,0.76,2,14
TN,11,25,8,2022,8.04,26.11,0.0,2,11
FL,15,17,9,2022,9.65,30.0,0.0,2,15
CA,14,14,12,2022,4.83,12.22,0.0,2,14
TX,17,7,9,2022,20.92,33.89,0.0,2,17
WI,14,14,11,2022,16.09,2.78,0.0,2,13
CA,7,25,8,2022,0.0,22.78,0.2104570154231863,2,7
AL,6,10,8,2022,0.0,26.11,2.03,2,10
VA,16,19,8,2022,22.53,28.89,0.0,2,16
VA,10,14,1,2023,32.18,3.89,0.0,2,8
CT,12,28,9,2022,19.31,17.22,0.0,2,13
TX,15,7,12,2022,12.87,26.11,0.0,2,15
CA,20,29,9,2022,8.04,20.56,0.0,2,19
NV,5,11,12,2022,12.87,0.0,1.02,2,13
CA,14,19,8,2022,16.09,23.33,0.0,2,14
CA,20,31,12,2022,16.09,15.56,2.54,2,17
FL,22,15,1,2023,0.0,10.0,0.0,2,20
WA,3,31,8,2022,0.0,19.44,0.0,3,5
TX,16,6,12,2022,8.04,23.89,0.0,2,16
CA,17,14,9,2022,19.31,18.89,0.0,2,15
CT,2,22,1,2023,8.04,0.56,0.0,2,6
TX,2,27,1,2023,0.0,4.44,0.0,2,6
UT,16,5,11,2022,57.92,6.11,0.25,2,15
WV,17,30,8,2022,11.26,26.67,0.0,2,16
NY,7,7,10,2022,8.04,13.89,0.0,2,8
SC,15,13,10,2022,11.26,23.33,0.0,2,15
SC,10,11,10,2022,11.26,22.22,0.0,2,12
OH,18,17,10,2022,28.96,5.56,0.0,2,16
VA,19,3,9,2022,8.04,28.33,0.0,2,14
MD,19,9,12,2022,0.0,2.22,0.0,2,18
GA,22,7,10,2022,12.87,19.44,0.0,2,18
OH,7,23,1,2023,22.53,0.56,0.0,2,15
VA,10,16,9,2022,11.26,25.0,0.0,2,11
FL,16,22,11,2022,16.09,28.33,0.0,2,14
NV,16,12,12,2022,0.0,-1.11,0.0,2,16
FL,15,8,12,2022,16.09,26.11,0.0,2,16
FL,16,6,9,2022,11.26,33.89,0.0,2,15
CA,12,23,9,2022,11.26,23.89,0.0,2,14
CA,12,14,11,2022,4.83,11.11,0.0,2,11
TX,16,16,11,2022,4.83,11.67,0.0,2,16
VA,8,8,8,2022,4.83,26.11,0.0,2,10
OH,21,2,1,2023,4.83,6.11,0.0,2,18
CA,20,19,9,2022,8.04,18.33,0.0,2,19
FL,8,1,9,2022,0.0,26.67,0.0,2,9
MO,15,2,12,2022,37.01,15.56,0.0,2,15
MT,8,6,11,2022,8.04,-3.33,0.0,2,9
VA,11,27,1,2023,12.87,6.11,0.0,2,14
FL,8,1,12,2022,8.04,25.56,0.0,2,9
CA,14,30,12,2022,9.65,14.44,0.0,2,14
NY,8,31,8,2022,12.87,18.33,0.0,2,8
PA,22,20,9,2022,0.0,15.0,0.0,2,6
CA,19,21,12,2022,22.53,6.67,0.0,2,17
SC,20,5,8,2022,0.0,29.44,0.0,2,14
SC,14,13,10,2022,14.48,23.89,0.0,2,15
OR,5,6,1,2023,14.48,1.11,0.0,2,7
NC,17,12,11,2022,4.83,20.0,0.0,2,16
MI,17,26,1,2023,0.0,-1.67,0.0,2,14
OR,15,29,12,2022,0.0,8.33,0.0,2,15
OH,8,4,11,2022,20.92,12.78,0.0,2,12
FL,10,8,10,2022,14.48,24.44,0.0,2,14
AL,13,5,9,2022,9.65,27.22,0.0,2,14
TN,1,23,12,2022,32.18,-13.33,0.0,2,5
VA,15,20,1,2023,25.74,12.22,0.0,2,15
PA,13,8,8,2022,24.14,31.67,0.0,2,14
MT,23,29,12,2022,16.09,-11.67,0.0,2,19
TN,6,29,8,2022,0.0,22.78,0.0,2,8
NC,17,9,8,2022,14.48,30.56,0.0,2,13
NC,7,26,1,2023,4.83,2.78,0.0,2,8
VA,12,20,1,2023,33.79,10.56,0.0,2,13
CA,15,23,9,2022,16.09,32.22,0.0,2,15
NY,7,8,11,2022,16.09,7.78,0.0,2,9
FL,15,10,8,2022,27.35,31.67,0.0,2,15
PA,16,5,12,2022,20.92,5.56,0.0,2,14
FL,13,9,12,2022,8.04,26.11,0.0,2,13
SC,0,31,12,2022,0.0,8.89,0.0,2,3
CA,18,15,11,2022,0.0,17.22,0.0,2,17
NC,15,19,12,2022,4.83,8.89,0.0,2,15
FL,16,3,1,2023,24.14,26.11,0.0,2,10
FL,7,8,8,2022,9.65,26.11,0.0,2,8
MD,6,13,1,2023,16.09,7.78,0.0,2,14
MT,11,12,12,2022,9.65,-7.78,0.0,2,18
PA,14,11,8,2022,12.87,31.11,0.0,2,15
PA,1,15,8,2022,0.0,17.22,0.0,2,3
TX,23,24,12,2022,0.0,-0.56,0.0,2,18
MN,7,27,1,2023,25.74,1.11,0.0,2,8
NJ,8,4,10,2022,14.48,7.78,0.76,2,8
IL,18,14,9,2022,12.87,20.56,0.0,2,16
CA,12,12,9,2022,20.92,26.67,0.0,2,15
MN,15,17,11,2022,28.96,-2.78,0.0,2,15
UT,5,1,1,2023,11.26,1.11,0.76,2,7
CA,13,4,8,2022,35.4,33.33,0.0,2,15
CA,5,21,1,2023,0.0,3.89,0.0,2,4
SC,16,6,12,2022,9.65,21.11,0.0,2,14
TN,13,1,9,2022,12.87,30.0,0.0,2,14
MN,12,14,11,2022,12.87,-1.67,0.25,2,11
FL,8,13,1,2023,12.87,17.22,0.0,2,10
VA,19,28,9,2022,20.92,18.89,0.0,2,18
NY,16,5,8,2022,12.87,32.22,0.0,2,16
OR,10,20,9,2022,4.83,23.89,0.0,2,13
FL,18,10,10,2022,12.87,31.11,0.0,2,15
AZ,14,26,1,2023,24.14,16.67,0.0,2,14
FL,2,27,12,2022,8.04,0.0,0.0,2,6
CA,21,16,9,2022,8.04,23.89,0.0,2,16
VA,22,10,10,2022,0.0,13.33,0.0,2,17
MD,15,4,11,2022,9.65,22.78,0.0,2,16
PA,9,10,12,2022,11.26,2.22,0.0,2,11
CA,12,17,9,2022,14.48,23.89,0.0,2,15
GA,18,15,11,2022,0.0,8.33,0.0,2,16
TX,7,26,9,2022,12.87,25.0,0.0,2,7
FL,10,7,10,2022,9.65,28.33,0.0,2,12
FL,8,10,8,2022,8.04,26.11,0.0,2,9
CA,0,17,1,2023,9.65,3.33,0.0,2,3
CO,6,16,11,2022,11.26,-5.56,0.0,2,8
CA,16,1,12,2022,20.92,8.89,1.52,2,14
SC,15,29,9,2022,33.79,21.11,0.0,2,15
OR,15,14,1,2023,33.79,9.44,0.25,2,14
TX,7,14,12,2022,20.92,15.56,0.0,2,9
FL,18,11,10,2022,16.09,28.89,0.0,2,14
TX,4,7,11,2022,0.0,19.44,0.0,2,5
CA,2,17,11,2022,0.0,0.0,0.0,2,9
MI,12,9,8,2022,12.87,22.78,0.0,2,13
MN,23,26,8,2022,11.26,19.44,0.0,2,13
TX,7,1,12,2022,11.26,6.67,0.0,2,9
TX,14,13,8,2022,25.74,32.78,0.0,2,14
CA,0,14,1,2023,0.0,7.22,0.0,2,3
FL,15,4,11,2022,20.92,28.33,0.0,2,14
CA,11,7,9,2022,0.0,33.89,0.0,2,11
CA,8,5,11,2022,4.83,9.44,0.0,2,15
TX,14,22,11,2022,0.0,11.11,0.0,2,14
TX,18,8,10,2022,9.65,23.33,0.0,2,14
FL,13,28,12,2022,25.74,24.44,0.0,2,14
FL,13,23,12,2022,20.92,26.67,0.0,2,13
MN,12,28,12,2022,9.65,1.67,0.0,2,14
FL,6,19,9,2022,0.0,24.44,0.0,2,7
TX,6,17,1,2023,9.65,7.78,0.0,2,6
CA,1,8,12,2022,9.65,6.67,0.0,2,10
TX,8,10,8,2022,8.04,30.0,0.0,2,11
CA,7,5,1,2023,8.04,12.22,0.0,2,10
CA,18,10,11,2022,9.65,10.0,0.0,2,15
FL,12,22,12,2022,8.04,17.22,0.0,2,12
VA,17,30,1,2023,0.0,13.89,0.0,2,16
FL,16,6,12,2022,16.09,26.67,0.0,2,15
UT,10,2,11,2022,9.65,0.0,0.0,2,10
OR,14,5,8,2022,25.74,21.11,0.0,2,14
CA,20,13,11,2022,0.0,-7.78,0.0,2,16
MD,15,7,8,2022,16.09,32.78,0.0,2,15
NY,16,30,12,2022,8.04,11.11,0.0,2,11
IN,17,23,8,2022,11.26,26.11,0.0,2,16
VA,9,16,12,2022,14.48,6.11,0.0,2,11
TX,7,6,12,2022,11.26,20.0,0.0,2,6
NY,6,28,9,2022,14.48,13.33,0.0,2,7
VA,12,29,12,2022,9.65,14.44,0.0,2,13
CA,6,26,1,2023,56.32,13.89,0.0,2,11
TX,23,4,10,2022,4.83,22.78,0.0,2,20
CA,18,10,8,2022,12.87,20.0,0.0,2,16
FL,12,16,12,2022,11.26,17.78,0.0,2,14
LA,6,19,1,2023,0.0,11.11,0.0,2,6
AZ,14,14,9,2022,4.83,35.0,0.0,2,15
CA,21,10,10,2022,12.87,22.22,0.0,2,18
GA,14,2,8,2022,11.26,31.11,0.0,2,14
PA,16,28,9,2022,19.31,13.33,2.79,2,15
CA,10,10,8,2022,0.0,24.44,0.0,2,9
WV,16,22,9,2022,27.35,20.56,0.0,2,15
CA,11,2,12,2022,9.65,8.33,0.0,2,13
SC,14,11,8,2022,8.04,28.89,0.0,2,15
AZ,8,27,9,2022,20.92,31.67,0.0,2,17
FL,9,27,9,2022,8.04,25.0,0.0,2,10
VA,16,7,8,2022,9.65,32.22,0.0,2,16
FL,16,5,1,2023,24.14,22.22,0.0,2,15
CA,22,8,12,2022,0.0,6.11,0.0,2,15
PA,2,3,9,2022,0.0,18.89,0.0,2,3
FL,16,26,9,2022,22.53,28.89,0.0,2,16
CA,18,4,1,2023,22.53,18.33,0.0,2,17
NY,1,11,11,2022,0.0,8.89,0.0,2,5
PA,14,25,8,2022,9.65,32.78,0.0,2,14
TX,1,2,12,2022,0.0,11.11,0.25,2,10
UT,8,6,12,2022,9.65,-3.89,0.0,2,9
TX,3,5,9,2022,12.87,23.33,0.0,2,10
PA,15,28,12,2022,9.65,8.89,0.0,2,15
FL,1,1,1,2023,0.0,13.89,0.0,2,4
MD,16,10,11,2022,0.0,17.78,0.0,2,17
MD,6,18,1,2023,8.04,4.44,0.0,2,7
KS,2,24,12,2022,16.09,-15.0,0.0,2,5
CA,16,24,8,2022,11.26,22.22,0.0,2,15
CA,8,12,12,2022,12.87,8.33,0.0,2,8
AL,17,5,8,2022,8.04,32.78,0.0,2,15
PA,17,31,8,2022,19.31,21.67,0.0,2,15
VA,16,7,12,2022,4.83,16.67,0.0,2,15
NY,6,29,9,2022,9.65,10.0,0.0,2,6
VA,18,1,12,2022,11.26,5.56,0.0,2,16
NY,17,20,1,2023,14.48,6.67,0.0,2,13
CA,19,19,8,2022,14.48,37.22,0.0,2,17
TX,19,22,8,2022,4.83,24.44,0.0,2,15
CA,11,21,1,2023,9.65,18.33,0.0,2,12
NV,21,31,10,2022,4.83,8.89,0.0,2,20
FL,19,29,12,2022,4.83,21.67,0.0,2,18
FL,15,31,8,2022,12.87,33.33,0.0,2,15
WI,7,22,12,2022,19.31,-7.78,0.0,2,9
TN,9,17,10,2022,19.31,11.67,0.0,2,11
MN,14,3,1,2023,28.96,-3.89,0.0,2,15
MT,19,14,12,2022,33.79,-7.22,0.0,2,17
MA,1,28,9,2022,16.09,14.44,0.0,2,11
OR,20,16,12,2022,0.0,-0.56,0.0,2,17
OR,15,1,10,2022,22.53,29.44,0.0,2,15
OH,14,17,10,2022,25.74,7.22,0.0,2,14
OH,3,7,11,2022,0.0,5.56,0.0,2,4
CA,23,1,12,2022,12.87,11.11,0.25,2,18
CA,7,5,12,2022,4.83,7.22,0.0,2,7
FL,10,2,12,2022,27.35,26.11,0.0,2,11
VA,11,16,10,2022,16.09,18.89,0.0,2,11
IL,8,4,12,2022,14.48,-6.11,0.0,2,10
PA,8,22,8,2022,11.26,22.78,0.25,3,8
CA,14,8,12,2022,8.04,16.11,0.0,2,14
GA,15,2,10,2022,9.65,28.89,0.0,2,15
SC,16,20,12,2022,19.31,6.67,0.25,2,14
FL,15,23,12,2022,16.09,27.78,0.0,2,15
SC,19,19,8,2022,8.04,25.0,0.0,4,14
NC,23,6,10,2022,0.0,12.22,0.0,2,17
CA,14,4,9,2022,14.48,37.78,0.0,2,16
SC,17,25,1,2023,27.35,19.44,0.51,2,17
TX,16,5,1,2023,8.04,16.11,0.0,2,14
WI,19,19,12,2022,0.0,-9.44,0.25,2,16
CA,16,24,1,2023,0.0,17.78,0.0,2,15
PA,18,12,10,2022,12.87,17.22,0.0,2,17
MI,7,6,1,2023,9.65,0.56,0.0,2,5
CA,13,23,9,2022,12.87,32.78,0.0,2,14
MT,8,26,12,2022,28.96,2.78,0.0,2,11
TN,13,23,9,2022,9.65,24.44,0.0,2,14
SC,0,15,10,2022,0.0,12.78,0.0,2,3
